车辆ID,左车道速度,右车道速度,总平均速度
bus14920,27.5,,27.5
bus14921,33.95,,33.95
bus14922,32.78,,32.78
bus14928,32.82,,32.82
bus14931,30.96,,30.96
bus14933,51.39,,51.39
bus14934,39.7,,39.7
bus14964,38.05,,38.05
bus1497,35.4,,35.4
bus14970,35.63,,35.63
bus14972,45.97,,45.97
bus14973,38.4,,38.4
bus14978,38.38,,38.38
bus14980,40.55,,40.55
bus14988,41.47,,41.47
bus1499,28.07,,28.07
bus14992,35.71,,35.71
bus15000,36.1,,36.1
bus15005,36.1,,36.1
bus15012,33.8,,33.8
bus15017,34.82,,34.82
bus15022,36.54,,36.54
bus15031,38.14,,38.14
bus15045,33.9,,33.9
bus15052,46.1,,46.1
bus15056,40.8,,40.8
bus15065,42.6,,42.6
bus15066,34.29,,34.29
bus15069,42.1,,42.1
bus15072,46.25,,46.25
bus15075,43.8,,43.8
bus15079,50.27,,50.27
bus15081,47.7,,47.7
bus15082,35.18,,35.18
bus15086,52.44,,52.44
bus15090,39.23,,39.23
bus15095,39.73,,39.73
bus15100,49.3,,49.3
bus15108,46.35,,46.35
bus15115,51.01,,51.01
bus1512,30.26,,30.26
bus15123,36.92,,36.92
bus15131,43.0,,43.0
bus15139,42.36,,42.36
bus15141,41.38,,41.38
bus15145,42.41,,42.41
bus1515,40.23,,40.23
bus15156,44.2,,44.2
bus15160,38.4,,38.4
bus15162,47.13,,47.13
bus15163,47.9,,47.9
bus15166,38.57,,38.57
bus15175,46.8,,46.8
bus15178,43.74,,43.74
bus15186,45.3,,45.3
bus15188,52.41,,52.41
bus15192,43.52,,43.52
bus15200,37.76,,37.76
bus15201,37.3,,37.3
bus15207,49.7,,49.7
bus15208,36.75,,36.75
bus15213,35.82,,35.82
bus15219,39.4,,39.4
bus1522,30.3,,30.3
bus15223,41.6,,41.6
bus15227,42.85,,42.85
bus15228,39.6,,39.6
bus15230,35.88,,35.88
bus15233,39.02,,39.02
bus15234,32.98,,32.98
bus15238,34.06,,34.06
bus15248,37.7,,37.7
bus1525,26.44,,26.44
bus15250,40.77,,40.77
bus1526,36.12,,36.12
bus15262,33.3,,33.3
bus15270,36.87,,36.87
bus15286,9.17,,9.17
bus15296,22.15,,22.15
bus15297,5.44,,5.44
bus153,24.15,,24.15
bus15313,12.8,,12.8
bus1534,34.69,,34.69
bus15382,32.99,,32.99
bus15386,16.86,,16.86
bus15396,30.2,,30.2
bus15399,15.96,,15.96
bus15414,20.16,,20.16
bus15416,33.39,,33.39
bus15442,37.3,,37.3
bus15451,22.58,,22.58
bus15456,20.03,,20.03
bus1546,24.16,,24.16
bus15463,21.56,,21.56
bus15465,30.74,,30.74
bus15474,23.52,,23.52
bus15479,27.85,,27.85
bus15482,26.27,,26.27
bus15483,52.15,,52.15
bus15487,28.7,,28.7
bus15490,29.58,,29.58
bus15497,20.76,,20.76
bus15503,34.6,,34.6
bus1552,31.98,,31.98
bus15527,3.32,,3.32
bus1553,39.9,,39.9
bus15547,19.42,,19.42
bus15558,18.04,,18.04
bus15572,20.62,,20.62
bus15580,3.5,,3.5
bus15581,19.5,,19.5
bus15582,19.36,,19.36
bus15596,18.6,,18.6
bus15599,31.8,,31.8
bus15605,12.65,,12.65
bus15607,28.77,,28.77
bus15608,22.88,,22.88
bus15609,21.96,,21.96
bus15616,28.0,,28.0
bus15618,23.24,,23.24
bus15619,22.79,,22.79
bus1562,22.7,,22.7
bus15626,24.4,,24.4
bus15632,24.8,,24.8
bus15633,27.7,,27.7
bus15656,26.88,,26.88
bus15661,32.49,,32.49
bus15664,29.94,,29.94
bus15670,30.89,,30.89
bus15671,28.74,,28.74
bus15676,27.6,,27.6
bus15679,26.66,,26.66
bus15681,18.3,,18.3
bus15690,28.34,,28.34
bus15702,39.3,,39.3
bus15712,31.4,,31.4
bus15725,30.07,,30.07
bus1573,17.11,,17.11
bus15734,28.33,,28.33
bus15737,36.27,,36.27
bus15741,24.9,,24.9
bus1575,29.69,,29.69
bus15756,36.8,,36.8
bus1577,23.0,,23.0
bus15776,20.26,,20.26
bus15778,28.88,,28.88
bus15781,31.5,,31.5
bus15795,27.77,,27.77
bus15801,22.52,,22.52
bus15804,27.76,,27.76
bus15808,29.3,,29.3
bus15809,27.28,,27.28
bus15824,25.64,,25.64
bus15826,29.07,,29.07
bus15834,28.66,,28.66
bus15837,23.0,,23.0
bus15847,27.67,,27.67
bus15849,26.93,,26.93
bus15852,31.9,,31.9
bus15865,25.46,,25.46
bus1587,29.77,,29.77
bus15877,26.13,,26.13
bus15881,29.6,,29.6
bus15887,29.7,,29.7
bus15898,29.27,,29.27
bus15902,27.07,,27.07
bus15907,27.6,,27.6
bus1591,25.82,,25.82
bus15911,26.57,,26.57
bus15915,30.9,,30.9
bus15919,25.0,,25.0
bus15925,30.96,,30.96
bus15928,26.82,,26.82
bus15935,24.9,,24.9
bus15937,26.31,,26.31
bus15948,25.6,,25.6
bus15949,42.88,,42.88
bus15960,26.28,,26.28
bus15964,25.26,,25.26
bus15965,28.0,,28.0
bus15967,27.3,,27.3
bus15970,24.75,,24.75
bus15971,18.1,,18.1
bus15973,39.15,,39.15
bus15977,11.4,,11.4
bus15985,38.92,,38.92
bus16003,31.6,,31.6
bus16030,33.2,,33.2
bus16036,21.3,,21.3
bus16039,34.18,,34.18
bus16052,20.75,,20.75
bus16055,29.9,,29.9
bus16057,25.21,,25.21
bus16058,23.0,,23.0
bus16070,27.5,,27.5
bus16072,25.41,,25.41
bus16078,16.79,,16.79
bus16081,33.1,,33.1
bus16083,21.8,,21.8
bus16085,29.44,,29.44
bus16100,38.71,,38.71
bus16104,24.48,,24.48
bus16106,31.56,,31.56
bus16108,30.97,,30.97
bus16114,30.21,,30.21
bus16123,31.6,,31.6
bus16141,31.9,,31.9
bus16143,31.01,,31.01
bus16147,30.7,,30.7
bus16152,26.74,,26.74
bus16153,33.11,,33.11
bus1617,23.47,,23.47
bus16182,38.2,,38.2
